name,location,mileage,price,Exterior color,interior color,Drivetrain,MPG,Fuel type,Transmission,Engine,Accidents or damage,1-owner vehicle,Personal use only
2017 Genesis G80 3.8,"1075 W Golf Road Hoffman Estates, IL 60169","48,839 mi.","$21,066 ",Casablanca White,Black,All-wheel Drive,16–25,Gasoline,8-Speed Automatic,3.8L V6 24V GDI DOHC,At least 1 accident or damage reported,Yes,No
2021 Acura RDX Technology Package,,,,,,,,,,,,,
2024 Acura MDX w/Advance Package,"1149 West Golf Road Hoffman Estates, IL 60169","6,914 mi.","$61,850 ",Majestic Black Pearl,Ebony,All-wheel Drive,19–25,Gasoline,Automatic,"3.5L V-6 gasoline direct injection, i-VTEC variable valve contro",None reported,Yes,No
2020 Ford Fusion SE,"1811 N Rand Rd Palatine, IL 60074","38,003 mi.","$19,495 $300 price drop",Oxford White,Ebony,Front-wheel Drive,23–34,Gasoline,6-Speed Automatic,1.5L I4 16V GDI DOHC Turbo,None reported,Yes,No
2016 BMW M4 Base,"1811 N Rand Rd Palatine, IL 60074","50,900 mi.","$39,495 $498 price drop",Mineral Gray Metallic,Sakhir Orange,Rear-wheel Drive,17–26,Gasoline,6-Speed Manual,3.0L I6 24V GDI DOHC Twin Turbo,None reported,No,No
2014 Scion FR-S Base,"1811 N Rand Rd Palatine, IL 60074","81,205 mi.","$15,295 $200 price drop",Orange,Black,Rear-wheel Drive,25–34,Gasoline,6-Speed Automatic,2.0L H4 16V PDI DOHC,At least 1 accident or damage reported,No,No
2011 Audi A5 2.0T Premium,"1911 N Rand Rd Palatine, IL 60074","133,323 mi.","$8,933 ",Silver,Black,All-wheel Drive,21–29,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,At least 1 accident or damage reported,No,No
2024 Hyundai Santa Fe Limited,"221 E Lake Cook Rd Palatine, IL 60074",45 mi.,"$47,755 MSRP $47,755",Earthy Brass Matte,Gray,All-wheel Drive,20–28,Gasoline,Automatic,Intercooled Turbo Regular Unleaded I-4 2.5 L/152,,,
2016 BMW X1 xDrive 28i,"1349 Indianapolis Blvd Schererville, IN 46375","83,797 mi.","$15,136 $100 price drop",Mediterranean Blue Metallic,Black,All-wheel Drive,22–32,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,At least 1 accident or damage reported,Yes,Yes
2022 Volvo S60 MOMENTUM,"1349 Indianapolis Blvd Schererville, IN 46375","34,435 mi.","$46,684 $100 price drop",Ice White,Charcoal,All-wheel Drive,19–28,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC,None reported,Yes,Yes
2021 Volvo XC90 T6 Inscription 6 Passenger,"1349 Indianapolis Blvd Schererville, IN 46375","22,517 mi.","$31,731 $101 price drop",Pine Green,–,Front-wheel Drive,26–35,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,None reported,Yes,Yes
2020 GMC Yukon XL Denali,"1349 Indianapolis Blvd Schererville, IN 46375","72,623 mi.","$43,576 $929 price drop",Onyx Black,Cocoa,Four-wheel Drive,14–20,Gasoline,10-Speed Automatic,6.2L V8 16V GDI OHV,None reported,Yes,Yes
2024 BMW i7 xDrive60,"1400 Indianapolis Blvd Schererville, IN 46375",14 mi.,Not Priced,Mineral White Metallic,Smoke,All-wheel Drive,,Electric,WBY53EJ01RCR64707,24490,,,
2018 BMW X5 xDrive35i,,,,,,,,,,,,,
2015 INFINITI Q60 Base,"1550 W Ogden Ave Naperville, IL 60540","42,663 mi.","$33,745 ",Majestic White,Monaco Red,Rear-wheel Drive,18–26,Gasoline,Automatic,"VQ 3.7L V-6 DOHC, variable valve control, premium unleaded, engi",At least 1 accident or damage reported,No,No
2021 Mazda CX-5 Signature,"1515 W Ogden Ave Naperville, IL 60540","61,844 mi.","$22,992 $1,357 price drop",Deep Crystal Blue Mica,Caturra Brown,All-wheel Drive,22–27,Gasoline,6-Speed Automatic,2.5L I4 16V GDI DOHC Turbo,At least 1 accident or damage reported,Yes,No
2019 Tesla Model X 100D,"1515 W Ogden Ave Naperville, IL 60540","41,907 mi.","$39,999 $4,995 price drop",Red Multi,Black,All-wheel Drive,,Electric,,P9784,None reported,No,No
2024 Land Rover Defender 110 P400 X-Dynamic SE,"1559 West Ogden Avenue Naperville, IL 60540",8 mi.,"$89,518 MSRP $89,518",Fuji White,Ebony,Four-wheel Drive,18–23.0,Gasoline,Automatic,"3L I-6 gasoline direct injection, DOHC, variable valve control,",,,
2021 Land Rover Range Rover Velar P250 S,"1559 West Ogden Avenue Naperville, IL 60540","28,004 mi.","$42,994 $1,004 price drop",Hakuba Silver Metallic,Ebony,Four-wheel Drive,20–26.0,Gasoline,Automatic,"Ingenium 2L I-4 gasoline direct injection, DOHC, variable valve",None reported,Yes,No
2020 Land Rover Range Rover Velar P250 S,"1559 West Ogden Avenue Naperville, IL 60540","38,506 mi.","$37,896 $693 price drop",Santorini Black Metallic,Ebony/Ebony,Four-wheel Drive,21–27.0,Gasoline,Automatic,"Ingenium 2L I-4 gasoline direct injection, DOHC, variable valve",None reported,Yes,No
2020 Land Rover Range Rover Velar P250 S,"1559 West Ogden Avenue Naperville, IL 60540","38,808 mi.","$39,562 $2,059 price drop",Fuji White,Ebony/Ebony,Four-wheel Drive,21–27.0,Gasoline,Automatic,"Ingenium 2L I-4 gasoline direct injection, DOHC, variable valve",None reported,Yes,No
2024 Ford F-150 Raptor,"2055 Ogden Ave Naperville, IL 60540",0 mi.,"$82,545 ",Agate Black Metallic,Rb,Four-wheel Drive,15–18,Gasoline,10-Speed Automatic,3.5L V6 EcoBoost,,,
2024 BMW X3 M AWD,"1035 N Clark St Chicago, IL 60610","5,492 mi.","$78,888 ",Carbon Black Metallic,Sakhir Orange,All-wheel Drive,15–20,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Twin Turbo,None reported,Yes,No
2006 Scion xA,"1561 N Fremont St Chicago, IL 60642","107,362 mi.","$5,500 ",Red,–,Front-wheel Drive,–,Gasoline,–,1.5L I4 16V MPFI DOHC,At least 1 accident or damage reported,No,Yes
2024 Honda HR-V EX-L,"6720 W Grand Ave Chicago, IL 60707",5 mi.,"$32,005 MSRP $32,005",Platinum White Pearl,Bk,All-wheel Drive,25–30,Gasoline,Automatic,"2L I-4 gasoline direct injection, DOHC, i-VTEC variable valve co",,,
2023 GMC Terrain SLT,"7400 W. Cermak North Riverside, IL 60546",10 mi.,"$33,905 MSRP $40,325",Ebony Twilight Metallic,Jet Black,All-wheel Drive,24–28,Gasoline,9-Speed Automatic,1.5L I4 16V GDI DOHC Turbo,,,
2021 GMC Acadia SLE,,,,,,,,,,,,,
2022 Audi RS 6 Avant 4.0T,,,,,,,,,,,,,
2022 Audi RS 6 Avant 4.0T quattro,"401 W North Ave Northlake, IL 60164","1,895 mi.","$133,900 ",Sebring Black Crystal Effect,Black / Gray,All-wheel Drive,–,Gasoline,1-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo,At least 1 accident or damage reported,Yes,Yes
2015 Mercedes-Benz S-Class S 550,,"49,265 mi.","$33,963 ",,,,,,,,,,
2015 Volkswagen Golf SportWagen TDI S 4-Door,"5630 West 120th St Alsip, IL 60803","204,989 mi.","$7,349 ",–,–,Front-wheel Drive,31–40,Diesel,"Auto, 6-Spd DSG Tptrnc SM","2L I-4 diesel direct injection, DOHC, intercooled turbo, diesel,",At least 1 accident or damage reported,No,No
2016 BMW 435 Gran Coupe 435i xDrive,"530 W Grand Ave Elmhurst, IL 60126","158,872 mi.","$11,499 ",Gray,Black,All-wheel Drive,20–30,Gasoline,Automatic,Engine: 3.0L DOHC 24-Valve 6-Cylinder Turbocharged,None reported,Yes,No
2024 Mercedes-Benz GLA 250 Base 4MATIC,"8430 West 159th Street Orland Park, IL 60462",53 mi.,"$51,225 MSRP $51,225",White,Black,All-wheel Drive,23–32,Gasoline,8-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo,,,
2023 BMW X1 xDrive28i,,,,,,,,,,,,,
2021 BMW 430 i xDrive,"1400 Indianapolis Blvd Schererville, IN 46375","22,709 mi.","$39,980 ",Portimao Blue Metallic,Oyster,All-wheel Drive,24–33,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,None reported,Yes,No
2023 Volkswagen Atlas 3.6 V6 SEL R-Line Black,"2211 Aurora Ave Naperville, IL 60540","10,837 mi.","$46,477 ",Opal White Pearl Effect,Titan Black,All-wheel Drive,18–23,Gasoline,8-Speed Automatic,3.6L V6 24V GDI DOHC,None reported,Yes,No
2023 BMW 540 i xDrive,"407 Skokie Hwy Lake Bluff, IL 60044","11,201 mi.","$62,899 $100 price drop",Carbon Black Metallic,Mocha,All-wheel Drive,22–29,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,None reported,Yes,Yes
2023 BMW X5 M50i,"407 Skokie Hwy Lake Bluff, IL 60044","15,202 mi.","$73,999 ",White Metallic,Coffee,All-wheel Drive,16–22,Gasoline,8-Speed Automatic,4.4L V8 32V GDI DOHC Twin Turbo,At least 1 accident or damage reported,No,No
2020 BMW M8 Base,"407 Skokie Hwy Lake Bluff, IL 60044","19,999 mi.","$74,995 ",Black Sapphire Metallic,Sakhir Orange,All-wheel Drive,15–21,Gasoline,8-Speed Automatic,4.4L V8 32V GDI DOHC Twin Turbo,None reported,Yes,No
2023 BMW 530e 530e xDrive,"407 Skokie Hwy Lake Bluff, IL 60044","11,492 mi.","$47,999 $3,300 price drop",Gray Metallic,Beige,All-wheel Drive,–,Hybrid,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo Hybrid,None reported,No,No
2023 BMW 530e 530e xDrive,,"11,654 mi.","$49,299 $3,300 price drop",,,,,,,,,,
2019 RAM ProMaster 3500 High Roof,"14201 S. Cicero Ave Crestwood, IL 60445","90,180 mi.","$27,495 ",Patriot Blue Pearlcoat,Black,Front-wheel Drive,0–0,Gasoline,Automatic,"Pentastar 3.6L V-6 DOHC, variable valve control, regular unleade",At least 1 accident or damage reported,No,No
2012 Volkswagen Jetta SportWagen TDI w/Sunroof,"3128 W 147th St Posen, IL 60469","114,983 mi.","$7,299 $200 price drop",White,Black,Front-wheel Drive,29–39,Diesel,Automatic,2.0L TDI 16-valve I4 diesel engine,At least 1 accident or damage reported,No,No
2007 Dodge Magnum SRT8,"150 South Church Street Addison, IL 60101","48,100 mi.","$42,754 ",Black,Dk/Lt Slate Gray,Rear-wheel Drive,14–18,Gasoline,Automatic,"HEMI 6.1L V-8 premium unleaded, engine with 425HP",,,
2016 Ferrari California T,"217 E Ogden Ave Downers Grove, IL 60515","8,025 mi.","$142,166 ",Silver,Rosso,Rear-wheel Drive,16–23,Gasoline,7-Speed Manual,3.9L V8,None reported,No,No
2016 McLaren 675LT Base,"217 E Ogden Ave Downers Grove, IL 60515","16,500 mi.","$225,800 $14,000 price drop",Onyx Black,Black,Rear-wheel Drive,16–22,Gasoline,7-Speed Manual Dual Clutch,3.8L V8 Twin Turbocharged,None reported,No,No
2014 Chevrolet Impala Limited LS,"454 East North Avenue Lombard, IL 60148","145,000 mi.","$5,295 $200 price drop",Gray,Black,Front-wheel Drive,18–30,E85 Flex Fuel,6-Speed Automatic,3.6L V6 24V GDI DOHC Flexible Fuel,At least 1 accident or damage reported,No,No
2004 Lexus RX 330 Base (A5),"454 East North Avenue Lombard, IL 60148","153,648 mi.","$7,495 ",Pearl White,Beige,All-wheel Drive,18–24,Gasoline,5-Speed Automatic,3.3L V6 24V MPFI DOHC,None reported,No,No
2011 Mazda MX-5 Miata Sport,"1030 Republic Dr Addison, IL 60101","25,485 mi.","$17,250 ",True Red,Black,Rear-wheel Drive,21–28,Gasoline,Automatic,"2L I-4 DOHC, variable valve control, premium unleaded, engine wi",None reported,Yes,No
2006 Mercedes-Benz CLS-Class CLS500,"5904 W 159th St Oak Forest, IL 60452","56,796 mi.","$13,980 $1,000 price drop",Granite Gray Metallic,Ash,Rear-wheel Drive,16–22,Gasoline,Automatic,"5L V-8 premium unleaded, engine with 302HP",None reported,No,No
2004 Volvo V70,"367 S Rohlwing Rd Addison, IL 60101","93,800 mi.","$7,500 ",Silver Metallic,Black/Navy,Front-wheel Drive,20–28,Gasoline,Automatic,2.5L DOHC all-alloy turbocharged I5 engine w/intercooler,None reported,Yes,No
2004 Acura RSX Base (M5),"367 S Rohlwing Rd Addison, IL 60101","113,575 mi.","$11,975 ",Desert Silver,Ebony,Front-wheel Drive,27–33,Gasoline,Manual,2.0L DOHC PGM-FI 16 valve i-VTEC 4-cyl engine,None reported,Yes,No
2017 Mercedes-Benz CLS 550 Base 4MATIC,"1723 Ogden Ave Downers Grove, IL 60515","48,623 mi.","$32,982 ",Selenite Grey Metallic,Black,All-wheel Drive,17–0,Gasoline,Automatic,"4.7L V-8 gasoline direct injection, DOHC, variable valve control",At least 1 accident or damage reported,Yes,No
2019 Nissan 370Z Base,"1723 Ogden Ave Downers Grove, IL 60515","20,183 mi.","$29,987 ",Magnetic Black Metallic,Charcoal,Rear-wheel Drive,19–0,Gasoline,Automatic,"VQ 3.7L V-6 DOHC, variable valve control, premium unleaded, engi",None reported,Yes,Yes
2019 Audi RS 3 2.5T,"2150 Ogden Ave Downers Grove, IL 60515","19,900 mi.","$52,888 ",Daytona Gray Pearl Effect,Black / Gray,All-wheel Drive,19–28,Gasoline,7-Speed Automatic with Auto-Shift,2.5L I5 20V PDI DOHC Turbo,None reported,Yes,No
2022 BMW M850 Gran Coupe i xDrive,"8760 W 159th St Orland Park, IL 60462","10,247 mi.","$69,990 ",Mineral White Metallic,Night Blue,All-wheel Drive,17–24,Gasoline,8-Speed Automatic,4.4L V8 32V GDI DOHC Twin Turbo,None reported,Yes,No
2007 Honda S2000 Base,,"64,231 mi.","$28,995 ",Gray,Black,Rear-wheel Drive,20–24,Gasoline,Manual,"2.2L I-4 DOHC, VTEC variable valve control, premium unleaded, en",,,
2021 BMW X5 PHEV xDrive45e,"11030 W 159th St Orland Park, IL 60467","51,236 mi.","$43,750 $100 price drop",Black Sapphire Metallic,Black,All-wheel Drive,–,Hybrid,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo Hybrid,None reported,Yes,No
2021 Audi RS 6 Avant 4.0T,"2772 Skokie Valley Road Highland Park, IL 60035","21,309 mi.","$97,989 $990 price drop",Glacier White Metallic,Black/Red,All-wheel Drive,15–22,Gasoline,8-Speed Automatic with Tiptronic,"4L V-8 gasoline direct injection, DOHC, variable valve control,",None reported,No,No
2016 Nissan 370Z NISMO Tech,"2895 Ogden Ave Lisle, IL 60532","4,731 mi.","$44,800 ",Solid Red,Gray,Rear-wheel Drive,18–26,Gasoline,6-Speed Manual,3.7L V6 24V MPFI DOHC,None reported,No,No
2019 BMW M6 Gran Coupe Gran Coupe,"641 Estes Ave Schaumburg, IL 60193","31,010 mi.","$52,895 ",San Marino Blue Metallic,Black,Rear-wheel Drive,14–20,Gasoline,7-Speed Automatic with Auto-Shift,4.4L V8 32V GDI DOHC Twin Turbo,None reported,No,No
2023 Lexus LC 500 Base,"4330 W Irving Park Rd Chicago, IL 60641","1,250 mi.","$95,000 ",Caviar,Black,Rear-wheel Drive,15–25,Gasoline,10-Speed Automatic,5.0L V8 32V PDI DOHC,None reported,Yes,No
2023 Ferrari Roma Base,"420 E. Ogden Ave. Hinsdale, IL 60521",251 mi.,"$269,999 ",Rosso Corsa,Nero,Rear-wheel Drive,17–22,Gasoline,8-Speed Automatic with Auto-Shift,3.9L V8 32V GDI DOHC Twin Turbo,None reported,Yes,No
2024 Ford Bronco Badlands,,,,,,,,,,,,,
2018 BMW 440 i,,,,,,,,,,,,,
2020 Ford Shelby GT350 Base,"22W231 North Ave Glen Ellyn, IL 60137",876 mi.,"$103,995 ",Grabber Lime,Ebony,Rear-wheel Drive,14–21,Gasoline,6-Speed Manual,5.2L V8 32V MPFI DOHC,None reported,Yes,No
2019 Ford Shelby GT350 Base,"1902 Ogden Avenue Lisle, IL 60532","1,832 mi.","$89,800 ",Red,Ebony w/Red Accents,Rear-wheel Drive,14–21,Gasoline,Manual,"5.2L V-8 DOHC, Ti-VCT variable valve control, premium unleaded,",None reported,Yes,Yes
2005 Scion xA Base,"Juliana from Schaumburg, IL 60193","69,554 mi.","$5,000 ",Silver,Black,Front-wheel Drive,Gasoline,5-Speed M/T,108.0HP 1.5L 4 Cylinder Engine Gasoline Fuel,JTKKT624550102915,None reported,Yes,No
2013 Toyota Prius Two,"9604 Indianapolis Blvd Highland, IN 46322","109,016 mi.","$13,200 $198 price drop",Classic Silver Metallic,Misty Gray,Front-wheel Drive,51–48,Hybrid,Automatic CVT,1.8L I4 16V MPFI DOHC Hybrid,At least 1 accident or damage reported,Yes,No
2024 Ford Bronco Raptor,"9809 Indianapolis Blvd Highland, IN 46322",10 mi.,"$103,450 ",Shadow Black,Black,Four-wheel Drive,15–16,Gasoline,10-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo,,,
2013 Volkswagen Jetta SportWagen SE,"1155 W Dundee Rd Arlington Heights, IL 60004","122,175 mi.","$6,995 $232 price drop",–,–,Front-wheel Drive,24–31,Gasoline,Automatic,"2.5L I-5 DOHC, variable valve control, regular unleaded, engine",At least 1 accident or damage reported,No,No
2007 Dodge Magnum SRT8,"27w110 North Ave West Chicago, IL 60185","36,253 mi.","$44,800 ",Bright Silver Metallic Clearcoat,Dark Slate Grey/Light Slate Grey,Rear-wheel Drive,13–18,Gasoline,5-Speed Shiftable Automatic,6.1L V8 425hp 420ft. lbs.,None reported,No,No
2021 Mercedes-Benz Maybach GLS 600 4MATIC,"1000 W Golf Road Hoffman Estates, IL 60169",863 mi.,"$146,999 ",Iridium Silver Metallic,Black,All-wheel Drive,15–19,Gasoline,9-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo,None reported,Yes,No
2021 Toyota Highlander Hybrid XLE,"1951 N. Rand Road Palatine, IL 60074","46,251 mi.","$36,627 $297 price drop",Black,–,All-wheel Drive,35–35,Hybrid,Automatic CVT,2.5L I4 16V PDI DOHC Hybrid,None reported,Yes,Yes
2004 Nissan 350Z,"1823 Centrepoint Circle Naperville, IL 60563","19,919 mi.","$22,500 $300 price drop",Red,Black,Rear-wheel Drive,20–26,Gasoline,6-Speed Manual,3.5L V6 24V MPFI DOHC,None reported,No,No
2009 Cadillac DTS 1SD,"503 South Weber Road Bolingbrook, IL 60490","105,808 mi.","$7,995 ",Black Raven,Beige,Front-wheel Drive,15–23,Gasoline,Automatic,"Northstar 4.6L V-8 DOHC, regular unleaded, engine with 275HP",At least 1 accident or damage reported,Yes,Yes
2019 Cadillac CT6 Sport,"1507 W. Ogden Ave. Naperville, IL 60540","35,569 mi.","$43,995 $1,000 price drop",Manhattan Noir Metallic,Black,All-wheel Drive,18–26,Gasoline,Automatic,"3L V-6 gasoline direct injection, DOHC, VVT variable valve contr",At least 1 accident or damage reported,No,No
2021 Audi RS 6 Avant 4.0T quattro,"1527 Aurora Ave Naperville, IL 60540","30,107 mi.","$99,991 ",Daytona Gray Pearl Effect,Black / Gray,All-wheel Drive,15–22,Gasoline,8-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo,None reported,Yes,No
2020 Lincoln Nautilus Standard,"2055 Ogden Ave Naperville, IL 60540","19,445 mi.","$29,999 ",Red Carpet,Cappuccino,Front-wheel Drive,21–26,Gasoline,8-Speed Automatic,2.0L Turbocharged,None reported,Yes,Yes
2018 Ford Shelby GT350 Base,"990 N Shore Dr Lake Bluff, IL 60044","1,001 mi.","$84,900 ",Gray,Ebony,Rear-wheel Drive,14–21,Gasoline,6-Speed Manual,5.2L V8 32V MPFI DOHC,None reported,Yes,No
2006 Cadillac DTS Luxury,"1210 25th Ave Melrose Park, IL 60160","70,203 mi.","$6,995 ",Gray,Gray,Front-wheel Drive,23–23,Gasoline,Automatic 4-Speed,4.6L V8,None reported,No,No
2008 Cadillac Escalade EXT Base,"5125 Church St Skokie, IL 60077","95,139 mi.","$20,988 ",Black Raven,Ebony,All-wheel Drive,12–18,Gasoline,6-Speed Automatic,6.2L V8 16V MPFI OHV,At least 1 accident or damage reported,Yes,No
2024 Mercedes-Benz EQE 350 Base 4MATIC,"200 E Ogden Ave Westmont, IL 60559",10 mi.,"$86,965 ",Gray Metallic,Gray,AWD,1-Speed Automatic,Electric,W1KEG1CB3RF055398,RF055398,,,
2011 Cadillac DTS Luxury Collection,"3128 W 147th St Posen, IL 60469","169,679 mi.","$6,799 $200 price drop",Brown,Silver,Front-wheel Drive,15–23,Gasoline,Automatic,"Engine, Northstar 4.6L DOHC V8 (275 HP [205 kW] @ 6000 rpm, 295",At least 1 accident or damage reported,No,No
2006 Cadillac DTS Luxury III,"3128 W 147th St Posen, IL 60469","69,565 mi.","$8,499 $300 price drop",Tan,Beige,Front-wheel Drive,17–25,Gasoline,Automatic,"Engine, 4.6L DOHC V8 Northstar (275 HP [205.1 kW] @ 5200 rpm, 29",At least 1 accident or damage reported,No,No
2011 Cadillac DTS Base,"1030 Republic Dr Addison, IL 60101","53,908 mi.","$14,950 ",White Diamond Tricoat,Shale w/Cocoa Accents,Front-wheel Drive,15–23,Gasoline,Automatic,"Northstar 4.6L V-8 DOHC, regular unleaded, engine with 275HP",At least 1 accident or damage reported,No,No
2019 Nissan Pathfinder S,,"34,515 mi.","$19,997 $1,403 price drop",,,,,,,,,,
2023 Hyundai Santa Fe SEL 2.4,"1866 Ogden Avenue Downers Grove, IL 60515","7,728 mi.","$33,060 MSRP $36,165",Portofino Gray,Gray,All-wheel Drive,22–25,Gasoline,8-Speed Automatic with SHIFTRONIC,"Smartstream 2.5L I-4 port/direct injection, DOHC, CVVT variable",,,
2010 Cadillac DTS V8,"1543 Ogden Ave Downers Grove, IL 60515","102,646 mi.","$9,888 ",White,Black,Front-wheel Drive,–,Gasoline,4-Speed Automatic,4.6L V8 32V MPFI DOHC,None reported,No,No
2009 Cadillac DTS Luxury,"6100 W. 159th Street Oak Forest, IL 60448","19,486 mi.","$19,900 ",Black,Black,Front-wheel Drive,15–23,Gasoline,4-Speed Automatic,4.6L V8 32V MPFI DOHC,None reported,Yes,Yes
2018 BMW M2 Base,"2401 Warrenville Rd Downers Grove, IL 60515","57,619 mi.","$38,699 ",Alpine White,Black,Rear-wheel Drive,18–26,Gasoline,7-Speed Automatic with Auto-Shift,3.0L I6 24V GDI DOHC Turbo,At least 1 accident or damage reported,No,No
2011 Cadillac DTS Base,"2101 Ogden Ave Downers Grove, IL 60515","35,368 mi.","$14,000 $1,000 price drop",Black Raven,Ebony,Front-wheel Drive,15–23,Gasoline,Automatic,"Northstar 4.6L V-8 DOHC, regular unleaded, engine with 275HP",At least 1 accident or damage reported,Yes,No
2024 Ford Bronco Sport Big Bend,"8100 West 159th Street Orland Park, IL 60462",10 mi.,"$33,085 MSRP $33,085",Eruption Green Metallic,Medium Dark Slate,Four-wheel Drive,25–28,Gasoline,8-Speed Automatic,1.5L I3 12V PDI DOHC Turbo,,,
2008 Cadillac DTS W/1SC,,"41,984 mi.","$13,995 ",,,,,,,,,,
2024 Audi Q8 e-tron Sportback S line Premium Plus,,,,,,,,,,,,,
2022 Jeep Grand Wagoneer Series III 4x4,,,,,,,,,,,,,
2009 Cadillac DTS 1SB,"1600 Hicks Rd Rolling Meadows, IL 60008","50,123 mi.","$9,900 ",Beige,TAN,Front-wheel Drive,15–23,Gasoline,"Automatic, 4-Spd w/Overdrive","V8, 4.6 Liter",At least 1 accident or damage reported,Yes,No
2017 Toyota RAV4 Limited,"1911 N Rand Rd Palatine, IL 60074","128,807 mi.","$15,933 $990 price drop",White,Black,All-wheel Drive,22–29,Gasoline,6-Speed Automatic,2.5L I4 16V MPFI DOHC,At least 1 accident or damage reported,No,No
2017 Volkswagen Golf SportWagen TSI S,"3325 W Montrose Ave Chicago, IL 60618","92,346 mi.","$12,788 $570 price drop",Dark Blue,Gray,All-wheel Drive,22–30,Gasoline,Automatic,"1.8L I-4 gasoline direct injection, DOHC, variable valve control",At least 1 accident or damage reported,Yes,Yes
2024 Jeep Wagoneer L Series II,"5950 North Western Avenue Chicago, IL 60659",21 mi.,"$74,061 MSRP $79,635",Diamond Black,Black,Four-wheel Drive,16–23,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Twin Turbo,,,
2024 Honda HR-V AWD Sport,"6720 W Grand Ave Chicago, IL 60707",5 mi.,"$30,005 MSRP $30,005",Urban Gray Pearl,Black,All-wheel Drive,25–30,Gasoline,Automatic,"2L I-4 gasoline direct injection, DOHC, i-VTEC variable valve co",,,
2024 Jaguar XF R-Dynamic SE,,,,,,,,,,,,,
2005 Chrysler Crossfire Base,"5630 West 120th St Alsip, IL 60803","159,898 mi.","$6,895 ",BLUE LIGHT,Gray,Rear-wheel Drive,21–25,Gasoline,Automatic,"3.2L V-6 premium unleaded, engine with 215HP",None reported,No,No
2024 Mercedes-Benz EQE 350 Base 4MATIC,"200 E Ogden Ave Westmont, IL 60559",411 mi.,"$85,235 ",Polar White,Black,All-wheel Drive,1-Speed Automatic,Electric,W1KEG1CB7RF049412,RF049412,,,
2015 Toyota Highlander Hybrid Limited,"14030 S Cicero Ave Crestwood, IL 60445","156,166 mi.","$15,960 $539 price drop",Blue,Ash,All-wheel Drive,27–28,Hybrid,Automatic,"3.5L V-6 DOHC, VVT-i variable valve control, regular unleaded, e",At least 1 accident or damage reported,No,No
2024 Ford Mustang Mach-E Premium,"7301 Kingery Hwy Willowbrook, IL 60527",4 mi.,"$59,890 MSRP $59,890",Shadow Black,Black,All-wheel Drive,1-Speed Automatic,Electric,3FMTK3SU2RMA02413,RT02413,,,
2005 Chrysler Crossfire Base,"870 S Fiene Dr. Addison, IL 60101","53,308 mi.","$9,485 ",Black,Black,Rear-wheel Drive,17–25,Gasoline,6-Speed Manual,3.2L V6 18V MPFI SOHC,None reported,No,No
2005 Chrysler Crossfire Base,"1030 Republic Dr Addison, IL 60101","28,406 mi.","$17,550 ",Sapphire Silver Blue Metallic Clearcoat,Dark Slate Gray,Rear-wheel Drive,21–23,Gasoline,Automatic,"3.2L V-6 premium unleaded, engine with 215HP",None reported,No,No
2014 Porsche Cayman S,"2150 Ogden Ave Downers Grove, IL 60515","23,892 mi.","$52,888 ",Black,Black,Rear-wheel Drive,20–28,Gasoline,7-Speed Automatic with Auto-Shift,3.4L H6 24V GDI DOHC,At least 1 accident or damage reported,No,No
2017 Mercedes-Benz G 550 4x4 Squared Base,"1902 Ogden Avenue Lisle, IL 60532","49,500 mi.","$159,800 ",Black,designo Black w/Contrast Stitching,All-wheel Drive,11–11,Gasoline,Automatic,"4L V-8 gasoline direct injection, DOHC, variable valve control,",None reported,Yes,No
2020 Ford Explorer XLT,"18800 South Oak Park Ave Tinley Park, IL 60477","30,003 mi.","$28,998 ",Black,Black,Four-wheel Drive,20–27,Gasoline,10-Speed Automatic,2.3L I4 16V GDI DOHC Turbo,None reported,Yes,Yes
2021 GMC Acadia SLT,"18800 South Oak Park Ave Tinley Park, IL 60477","23,781 mi.","$33,998 ",Purple,Dark Galvanized,All-wheel Drive,22–27,Gasoline,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,None reported,Yes,No
2016 Ford Edge Titanium,"9700 Indianapolis Blvd Highland, IN 46322","70,999 mi.","$17,900 $500 price drop",Ingot Silver Metallic,Ebony,All-wheel Drive,20–28,Gasoline,Automatic,"EcoBoost 2L I-4 gasoline direct injection, DOHC, variable valve",None reported,No,No
2016 Chevrolet Impala Limited Police,,"38,790 mi.","$12,599 $351 price drop",,,,,,,,,,
